DoctorID,OrderID,OrderNum,Condition A,Condition B,Condition C,Condition D,Condition F,Condition G,Condition H,Condition I,Condition J
ABJEAI,DGEJFDC,AIBEHCJ,False,False,False,False,False,True,True,False,Before
HBIEA,DGAJDAH,AIJIHGB,False,True,,False,False,True,False,True,Before
GGCCD,DGBBDCB,AFEIHFB,False,False,False,False,False,False,False,False,
EHHGF,DGCDCCF,AIBJJEE,False,False,False,True,False,False,True,False,Before
EHHGF,DGCFAGC,AEDBBDC,False,False,False,False,False,False,False,False,
EHHGF,DGDBJJC,AFIEHAA,False,False,False,False,False,False,False,False,
EHHGF,DHJCDJF,ABJEJHJ,False,True,False,False,False,False,False,False,
FCBDC,DGAIAHJ,AADBICE,False,False,,False,False,False,False,False,
AABDHC,DEHCIAA,AHEIDCG,False,False,False,False,False,False,True,False,Before
BCFJAB,DEIIFJB,AHFEGEI,False,False,False,False,False,False,True,False,Before
BCFJAB,DEIIFJB,AHFEGEI,False,False,False,True,False,False,True,False,Before
ACBGIB,DGDCCIH,AFHBJBH,False,False,False,False,False,False,False,False,
BJDFFJ,DGIBHCH,AEIAAAI,False,False,False,False,False,False,False,False,After
FDHGC,DGJBGBE,AIJFCGE,True,True,False,False,False,False,True,False,Before
FDHGC,DGADCHE,AIAADHI,False,False,True,True,False,False,True,True,Before
FDHGC,DGAHEIH,AIACCCB,False,False,False,False,False,True,True,False,Before
FDHGC,DGCBJJD,AIAIJEH,False,False,False,False,False,False,True,False,Before
FDHDI,DGCEAED,AIBJDID,False,False,False,False,False,False,True,False,Before
FDHDI,DGCIIEC,AFFACIC,False,False,False,False,False,False,False,False,
FDHDI,DGCIIHI,ADGHAJE,False,True,False,False,False,False,False,False,
FDHDI,DGDCHJD,ACAHCDF,False,False,False,False,False,False,False,False,
FDHDI,DGDCIAC,AFEAAGE,False,False,False,False,False,False,False,False,
FDHDI,DGEEFEB,AIBGFDI,True,True,True,True,False,False,False,False,Before
FDHDI,DGEHDIH,AEJDADB,False,True,False,True,False,False,False,False,
FDHDI,DGFFAJJ,AFFACIC,False,False,,False,,,True,False,
GHDFB,DFECJJC,AHHFFCA,False,False,True,True,False,True,True,False,Before
GHDFB,DGEJIBB,AIBEIEJ,False,False,False,False,False,False,False,True,Before
GHDFB,DGIJDEA,AEAHFFG,False,False,False,False,False,False,False,False,
GHDFB,DHJDBAF,AEJCHCH,False,True,False,False,False,False,False,False,
ADGAIC,DFJJGIH,AHFFBHA,False,False,False,False,False,False,False,False,Before
FAHDI,DFBAGFE,AHGDCHB,False,False,True,True,False,False,False,False,Before
FAHDI,DFECBIH,AHHFGGH,False,False,True,False,False,True,True,False,Before
FAHDI,DFFADBA,AHIJCBE,False,False,False,False,False,True,True,False,Before
FAHDI,DFFDCDI,AHIAEJJ,False,False,True,False,False,True,True,False,Before
FAHDI,DFFDFDC,AHIAFFG,False,False,True,False,False,False,True,False,Before
FAHDI,DGJBHBF,AIJFCGA,False,True,True,False,False,False,True,False,Before
FAHDI,DGAHGAD,AFEAIBH,False,False,False,False,False,False,True,False,
FAHDI,DGAHHED,ABIHDHH,False,False,True,True,False,False,False,False,
FAHDI,DGAIDAB,AADBFJB,False,False,False,False,False,False,False,False,
FAHDI,DGBHAJC,AIAGFJD,False,False,True,False,False,False,False,False,Before
FAHDI,DGDEBIH,ADDABFE,False,False,True,True,False,True,False,False,
FAHDI,DGDECJH,FAHJHE,False,False,False,False,False,False,False,False,
FAHDI,DGDIFEH,AFIJDDJ,False,False,False,False,False,False,False,False,
FAHDI,DGFJEBH,AIBIDBJ,False,False,False,False,False,False,False,False,Before
FAHDI,DGFJFFC,AIBIDEH,False,True,False,False,False,False,False,False,Before
FAHDI,DGFFEIH,ABFFFIB,False,False,False,False,False,False,False,False,
FAHDI,DGFGAGD,AFBIFFI,False,False,True,True,False,False,False,False,
BJBFJC,DGAGFDB,AGCEAIJ,True,False,False,False,False,False,False,False,
FJAJH,DGBAEDC,AIADFFI,False,True,False,False,False,False,False,True,Before
FJAJH,DGBAEGE,AIADFIJ,True,False,False,False,False,False,True,False,Before
FJAJH,DGBFIDB,ACFFJGB,False,False,False,False,False,False,False,False,
FJAJH,DGCBEBF,AEFBCGD,False,False,False,False,False,False,False,False,
FJAJH,DGDIDFI,AIBECHD,False,False,False,False,False,True,True,False,Before
FJAJH,DGDIDFI,AIBECHD,False,False,False,True,False,True,True,False,Before
FJAJH,DGECJAJ,AFDACAD,False,False,False,False,False,False,False,False,
FJAJH,DGFBHHG,AEBIGIG,False,False,False,False,False,False,False,False,
FJAJH,DGIJBFF,ACHGJIF,False,False,False,False,False,False,False,False,
FJAJH,DGIGCEB,AIDDDGB,False,False,False,False,False,False,False,False,Before
AIEBFD,DGCGJFI,ABABGGC,True,False,False,False,False,False,False,False,
AIEBFD,DGCGABA,AFCDEEB,False,False,False,False,False,False,False,False,
AIEBFD,DGEFJBD,AIBGHCE,False,False,False,False,False,False,False,True,Before
AIEBFD,DGGCHAJ,AICDFDF,True,True,False,False,False,False,True,False,Before
AIEBFD,DGHJAGG,AICGBGG,False,False,False,False,False,False,False,True,Before
HCBFF,DGJDBHA,AIJGABE,False,False,False,False,False,False,False,True,Before
IFDIB,DFGBHHC,ACBECBD,False,False,False,False,False,False,False,False,
IFDIB,DGJECBF,AIJGEBJ,False,False,False,False,False,True,False,False,Before
IFDIB,DGJECBF,AIJGEBJ,False,False,False,False,False,True,True,False,Before
IFDIB,DGEJHIB,AIBEIDJ,False,False,True,False,False,False,False,True,Before
IFDIB,DGECIDE,AIBGAEB,True,False,False,False,False,False,True,False,Before
FJBGJ,DGBEFAB,AEGGDJI,False,False,False,False,False,False,True,False,
FJBGJ,DGEFABA,AIBGHFI,False,False,False,False,False,False,True,False,Before
FJBGJ,DGFCIJI,AFIDCDF,False,False,False,False,False,False,False,False,
FJBGJ,DGIACCB,AIDAIBE,False,False,False,False,False,False,False,False,Before
EIFEJ,DGEBABH,AIBFDFC,False,False,False,False,False,False,False,False,Before
ABAIEG,DFGFDBJ,AHIFDAD,False,False,False,False,False,True,False,False,Before
ACBBCA,DFIEADA,AIJCEHJ,True,False,False,True,False,True,False,False,Before
ACBBCA,DGJJIIA,ABHGHGF,False,False,False,False,False,True,False,False,
ACBBCA,DGBADFC,AIADFAD,True,False,False,False,False,False,True,False,Before
ACBBCA,DGFJJHA,AIBIAHF,False,False,False,True,False,False,False,False,Before
ACBBCA,DGGIGDC,AICGJEC,False,False,False,True,False,True,True,False,Before
BCGFDD,DGIJDHB,AEFEHBC,False,False,False,False,False,False,False,False,
BCGFDD,DGIJDHB,AEFEHBC,False,False,True,True,False,False,False,False,
EIFHE,DFCCCBA,AHGHGBE,False,False,False,False,False,False,True,False,Before
FDHAJ,DFIBEBH,AIJBFHH,False,False,False,False,False,False,True,False,Before
FDHAJ,DGECABG,AFBGDFJ,False,False,True,False,False,True,False,False,
AADDIG,DGDGGEE,ADFEHJD,False,False,False,False,False,False,False,False,
AADDIG,DHJCIIG,AAEFGFJ,False,False,False,False,False,False,False,False,
FAGBJ,DGFDCFI,AICJGFB,False,False,False,False,False,False,True,False,Before
FCIJH,DGJDBCE,AIJGJDE,False,False,False,False,False,False,True,False,Before
HBDID,DGCGHGA,AIBAEAH,False,False,False,False,False,False,True,False,Before
BABEFH,DGAHHEH,AEIDFFG,False,False,False,False,False,False,False,False,
BABEFH,DGDIHDE,AFBAFCE,False,False,False,True,False,True,False,False,
BABEFH,DGDIIGH,ACHAFAF,False,False,False,False,False,False,False,False,
BABEFH,DGEADIG,AEBFDHI,False,False,False,False,False,True,False,False,
BABEFH,DGFCFEB,ACBJDBF,False,False,True,True,False,True,False,False,
BABEFH,DGFHCFH,AFBFACG,False,False,False,False,False,False,False,False,
BABEFH,DGGCJAD,AICDCCB,False,False,True,False,False,False,False,False,Before
BABEFH,DGICHCD,AIDBIFC,False,False,False,False,False,False,False,False,Before
ACDBJE,DFFHDEF,AHICJII,False,False,False,True,True,False,True,False,Before
ACDBJE,DGACHEG,AIAABDH,False,False,False,False,False,True,False,False,Before
ACDBJE,DGCEGED,AIBJDBH,False,False,False,False,False,False,False,False,Before
ACDBJE,DGDFHHA,AIBDFFA,False,False,True,False,False,False,True,False,Before
ACDBJE,DGEGDGJ,AIBHCAE,False,False,False,False,False,False,False,False,Before
ABHGCJ,DGDGGFH,AFFADGA,False,False,False,False,False,False,False,False,
ABHGCJ,DGGHEDF,AICFEJH,False,False,False,False,False,False,False,False,Before
FCEDH,DGCIDHB,AIBBJBF,False,False,False,False,False,False,False,False,Before
FCEDH,DGIHADH,AIDDGID,False,False,False,False,False,True,False,True,Before
AFCADC,DFFJGDJ,AHIJJDC,False,False,False,True,False,True,False,False,Before
AFCADC,DFGBHIA,AHIEJGA,False,False,False,True,False,True,True,False,Before
AFCADC,DFIGJAG,AIJDBFE,False,False,False,False,False,True,True,False,Before
AFCADC,DGJCEFD,AEAEBGG,False,False,False,False,False,False,False,False,
AFCADC,DGJGIAG,ADGGJIH,False,False,False,False,False,False,False,False,
AFCADC,DGCJCDE,AEADFHJ,False,False,False,False,False,False,False,False,
AFCADC,DGCEGHD,AGBCCHH,True,False,False,False,False,False,False,False,
AFCADC,DGCFEBA,AEGAGGH,True,True,False,False,False,False,False,False,
AFCADC,DGDJAGA,AIBBCEH,True,False,False,False,False,False,True,False,Before
AFCADC,DGDJBGD,AIBBCBE,True,True,True,True,False,False,False,False,Before
AFCADC,DGEFEGC,AHAEEJE,False,False,False,False,False,False,False,False,Before
AFCADC,DGGCDFH,AEJJDFG,False,False,False,False,False,False,False,False,
AFCADC,DGGICGJ,AECCIDG,False,False,False,False,False,False,False,False,
AFCADC,DGGICIA,AGDAAAB,False,False,False,False,False,False,False,False,
AFCADC,DHJHIDH,AEHBFFG,False,False,False,False,False,False,False,False,
HJDFA,DGDCFHF,ACDCGBI,False,False,False,False,False,False,False,False,
HJDFA,DGEEJHG,AIBGCGE,False,True,False,False,False,False,True,False,Before
AAEIEG,DGBJJAC,AIACHGA,False,False,False,False,False,True,True,False,Before
AAEIEG,DGBAIJH,AEIJDJH,False,False,True,True,False,False,False,False,
FBFHB,DEGJCCG,ACGBFDH,False,True,False,False,False,True,False,False,
FBFHB,DEHBAFG,ACHBFEH,False,True,False,False,False,False,True,False,
FBFHB,DEHBHCJ,AHEIJFB,True,True,False,False,False,False,False,False,Before
FBFHB,DFJHJEG,ACDAJBA,False,False,False,False,False,False,False,False,
FBFHB,DFFCGFA,AHIABCG,True,True,False,False,False,False,True,False,Before
FBFHB,DFFCHHA,AFIDCEF,False,False,False,False,False,False,False,False,
FBFHB,DFGAGIE,AHIDEHC,False,True,False,False,False,False,True,False,Before
FBFHB,DFGAHBE,AHIDEID,False,False,False,False,False,False,False,False,Before
FBFHB,DFIIBCC,AIJEJBH,True,True,False,False,False,False,False,False,Before
FBFHB,DGJJACC,AIJECHC,False,False,False,False,False,False,True,False,Before
FBFHB,DGCJIHJ,AIAHDGH,False,False,False,False,False,False,False,False,Before
FBFHB,DGDGCBG,HBCHHI,False,True,False,False,False,False,False,False,
FBFHB,DGFEGGJ,AICADBF,False,False,False,False,False,False,True,False,Before
FBFHB,DHJAIDG,AEAJJAB,False,False,False,False,False,False,False,False,
FAGIE,DFJFEGB,ACJCAGF,False,False,False,False,False,False,False,False,
FAGIE,DFGAGCC,AHIDDFI,False,False,True,False,False,True,False,True,Before
FAGIE,DFHEGJE,AHIIIJC,False,False,False,False,False,True,True,False,Before
FAGIE,DFIEIHF,AHIIHHF,False,True,False,False,False,False,True,False,Before
FAGIE,DGAEFGF,ACAFHFF,False,False,False,False,False,False,False,False,
FAGIE,DGAFFDD,AFBAIBC,False,False,False,False,False,False,False,False,
FAGIE,DGAGDHB,AFAGEGI,False,False,False,False,False,False,False,False,
FAGIE,DGAGDHB,AFAGEGI,False,False,False,True,False,False,False,False,
FAGIE,DGAIAJB,ACCIAGH,False,False,True,True,False,False,False,False,
FAGIE,DGBGEEE,AIAGCGD,False,False,False,True,False,False,False,True,Before
FAGIE,DGCEBDI,AIBJDII,False,False,False,True,False,True,True,False,Before
FAICB,DFIAGCC,AFCCIBI,False,False,False,False,False,False,False,False,
FAICB,DGAGBIC,AGJCEBJ,False,False,False,False,False,False,False,False,
FAICB,DGFEGAJ,AGHDCCC,False,False,,False,,,False,False,
FAICB,DGHAHAD,AICGICG,False,True,False,False,False,False,False,False,Before
FAICB,DGIEGIA,AIDCGDJ,True,True,False,False,False,False,True,False,Before
GIHBE,DGABGAI,AIAJGBE,False,False,False,False,False,False,False,True,Before
GIHBE,DGAFEJE,AIABCCD,False,False,False,False,False,True,True,False,Before
AEGFAA,DGDCJFI,AIBCEIH,True,False,False,False,False,False,False,False,Before
AEGFAA,DGDFHHD,ABEFFIE,False,False,False,False,False,False,False,False,
AEGFAA,DGECIAI,AIBGABH,False,True,False,False,False,False,False,False,Before
AEGFAA,DGHDJIJ,AEEJHFE,False,False,False,False,False,False,False,False,
ADFECC,DGBEIGB,AJCDEDF,False,False,False,False,False,False,False,False,
HBAHA,DGCFABC,ADCCEIB,False,False,False,False,False,True,True,False,
FCDBG,DFAGGJE,AHGBFGA,False,False,False,False,False,False,False,False,Before
FCDBG,DGAJACG,AIJIGDJ,False,False,False,False,False,False,False,False,Before
FCDBG,DGBBDCI,AECHFHE,False,False,False,False,False,False,False,False,
FCDBG,DGFBGCF,AICJAGC,False,False,False,False,False,False,True,False,Before
FCDBG,DGGEFGJ,AICECGC,False,True,,False,False,False,False,True,Before
AHIEIG,DGDJGHB,AGEBABE,False,False,False,False,False,False,False,False,
AHIEIG,DGEAGBJ,AGDDEBI,False,True,False,False,False,False,False,False,
GDADF,DGCBGHG,ADFCHGD,False,False,False,False,False,False,False,False,
AHDDAI,DGAIDCA,ACJIADJ,True,True,False,False,False,False,False,False,
GDFHE,DGGFDFH,AICEFIF,False,False,False,False,False,True,False,False,Before
GDFHE,DGGFECC,AICEFEB,False,False,False,False,False,True,True,False,Before
GDFHE,DHJIBCI,AAJHEBA,False,False,False,False,False,False,False,True,
FBIII,DFDIHJF,AHHEBHH,False,False,False,False,False,True,True,False,Before
FBIII,DFHIFFF,AIJADFA,True,False,True,False,False,False,True,False,Before
FBIII,DGEDCIG,AFEAGGA,False,False,False,False,False,False,False,False,
FBIII,DGEDDGI,ADEDFAG,False,False,False,False,False,False,False,False,
FBIII,DGHJBFH,ADFCCGB,False,False,False,False,False,False,False,False,
FBIII,DGHBGAJ,AICHCFD,False,False,False,False,False,False,False,True,Before
FBIII,DGHHGDA,AEGHHGG,False,False,False,False,False,False,False,False,
AFCGAH,DGBEGJD,AFJFBEI,False,False,True,True,False,True,False,False,
AEFEAG,DGAGBFC,AIABFIB,False,False,False,False,False,False,False,False,Before
AEFEAG,DGECCED,ADGEAFA,False,False,False,False,False,False,False,False,
AAGHII,DGECAJB,GHCGDJ,False,False,,False,,,False,False,
AAGHII,DGHHGHB,AIDJGGA,False,False,False,False,False,True,False,False,Before
EHEGI,DGBCIGD,AIAEGBH,False,True,True,True,False,False,False,False,Before
BDGHAH,DFAGCIC,AHGBEFJ,False,False,False,False,False,False,True,False,Before
BDGHAH,DGDFDHI,AIBDEGC,False,False,False,False,False,True,True,False,Before
BDGHAH,DGIFCFE,AIDCIHD,False,False,False,False,False,True,False,False,Before
ABEAFF,DGJEGIJ,AIJGHJF,True,True,False,True,False,False,False,False,Before
ABEAFF,DGCGECA,AIBACBG,True,False,False,False,False,False,True,False,Before
BABGJG,DGBEEIB,AIAFFDB,True,False,False,False,False,False,False,False,Before
BABGJG,DGBEHJF,AIAFGAB,True,True,False,False,False,False,False,False,Before
BABGJG,DGDDJAA,ADFHCHG,False,False,True,True,False,False,False,False,
AABGAB,DGCJDCD,AIAHBEB,False,False,False,False,False,False,True,False,Before
AABGAB,DGCJDEE,AIAHBFE,False,False,False,False,False,False,False,False,Before
AABGAB,DGCEAAA,AIBJDFC,False,False,True,False,False,True,True,False,Before
AABGAB,DGCEABH,AIBJDGH,False,False,False,False,False,False,True,False,Before
FDFAC,DFHGIFE,AIJJGGH,False,False,False,False,False,False,False,False,Before
FDFAC,DGBDIAE,AIAFAID,False,False,False,False,False,False,False,False,Before
FDFAC,DGDIDCE,AIBEDAJ,True,False,False,False,False,False,True,False,Before
FDFAC,DGEDCCB,AFJIBIJ,False,False,False,False,False,False,False,False,
FDFAC,DGGHADB,AEECDJC,False,False,False,False,False,False,False,False,After
BBAJCF,DGBBFIC,AFDFJID,False,False,False,False,False,False,True,False,
BBAJCF,DGEADDG,AFAAECG,False,False,False,False,False,False,False,False,
IAEBD,DFHFFAG,AIJJCAJ,False,False,False,False,False,False,False,False,Before
FBJIB,DGAGBII,AIABGAJ,False,False,False,False,False,False,False,False,Before
AAAEAH,DFJCJGA,AHFGCFG,False,False,False,False,False,False,False,False,Before
AAAEAH,DFHACJH,AECDDAD,False,True,,False,False,False,True,False,Before
AAAEAH,DFHACJH,AECDDAD,False,True,,False,False,True,True,False,Before
AAAEAH,DGJBEFA,AIJFBGB,False,False,False,False,False,False,False,False,Before
AAAEAH,DGAADFB,AIAJBID,False,False,,False,False,True,False,True,Before
AAAEAH,DGAFGBE,AEHIFAC,False,True,False,False,False,False,False,False,
AAAEAH,DGBHFHE,AECIGBJ,False,False,False,False,False,False,False,False,
AAAEAH,DGCACCC,AIAHFFG,False,False,False,False,False,False,True,False,Before
AAAEAH,DGCDCCC,AIBJJEC,True,False,False,False,False,False,False,False,Before
AAAEAH,DGCDCGA,AIBJJGH,False,False,False,False,False,False,False,False,Before
AAAEAH,DGCIDDD,AIBBJAH,False,False,False,False,False,False,False,False,Before
AAAEAH,DGDEFDJ,AEDBFFB,False,False,False,False,False,False,False,False,
AAAEAH,DGDGHED,ACGDABH,True,False,False,False,False,False,False,False,
AAAEAH,DGDIAFC,AIBEBHA,False,False,False,False,False,False,False,True,Before
AAAEAH,DGEBHBI,ADFGDIH,False,False,False,False,False,False,False,False,
AAAEAH,DGEHBAF,AIBHEHH,True,False,False,False,False,False,False,False,Before
AAAEAH,DGFAFIF,AHJGEIB,False,False,False,False,False,False,True,False,Before
AAAEAH,DGHEDDE,AEFDBHF,False,False,False,False,False,False,False,False,
AAAEAH,DGHEGJD,AICIFHH,False,False,False,False,False,False,False,False,Before
HCIGF,DGDGFID,AEFGBFC,True,True,False,False,False,False,False,False,
HCIGF,DGGGGBD,AEFGCCA,False,False,False,False,False,False,False,False,
BBCHEH,DGDADIB,AIBBHED,False,False,False,False,False,False,True,False,Before
BBCHEH,DGDADIB,AIBBHED,False,False,False,True,False,False,True,False,Before
AJGICE,DFAIIAA,ADCDBGJ,False,False,False,False,False,False,False,False,
AJGICE,DGDBCED,AIBCBFD,False,False,True,False,False,False,False,False,Before
FDDIH,DGBCAHE,AIAECGD,False,False,True,True,False,True,False,False,Before
FBHHI,DGEAEAD,ABAHIFH,False,False,False,False,False,False,False,False,
FBHHI,DGGCIFE,AGDBJEJ,False,False,False,False,False,False,False,False,
ADJHAB,DGFGJAC,AEJBICA,False,False,False,False,False,False,False,False,
ADJHAB,DGHEDJG,AICIECG,False,False,False,False,False,False,True,False,Before
AHAHIB,DGBECEJ,GCFBBA,False,False,False,False,False,True,False,False,Before
BJDEGI,DGDJEBH,AGADBIF,False,False,False,False,False,False,False,False,
BJEACG,DGDABGG,AIBBGCG,False,False,False,False,False,False,False,False,Before
FJGEJ,DGCCFII,AIAIGGJ,False,False,False,False,False,False,False,False,Before
FJGEJ,DGDJCHI,ADDGFFC,False,False,False,False,False,False,False,False,
FJGEJ,DGDHCBJ,AIBDIHG,True,False,False,False,False,False,False,True,Before
FJGEJ,DGEFFCE,AIBHAJB,False,False,True,True,False,False,False,False,Before
FJGEJ,DGFIAIE,AICCJCA,False,False,False,False,False,False,False,True,Before
FJGEJ,DGHIECB,AIDAAGA,False,False,False,False,False,True,True,False,Before
GDGHI,DGCEEHG,AIBJFHB,True,False,False,False,False,False,False,False,Before
GDGHI,DGFDFHI,AICJHID,False,False,False,False,False,False,False,False,Before
FJFEG,DGDBFBF,AIBCDJB,False,False,False,False,False,False,False,False,Before
FJFEG,DGDBGJH,AIBCDCE,False,True,False,False,False,True,True,False,Before
FJFEG,DGDBGGI,AIBCDGD,False,False,True,False,False,False,True,False,Before
FJFEG,DGEABGI,AIBFJHE,True,False,False,False,False,False,False,False,Before
FJFEG,DGEABGI,AIBFJHE,True,False,False,True,False,False,False,False,Before
AIABDJ,DFICBFD,AEFABFI,False,False,False,False,False,False,False,False,
